average_funded,total_rounds,average_participants,products_number,offices,mba_degree,other_degree,age,ipo_True,is_closed_True,is_acquired_True
1731700.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
630000.0,1,0.0,1.0,3.0,1.0,3.0,1826.0,0,0,0
11250000.0,4,3.5,1.0,1.0,7.0,47.0,2831.0,0,0,1
6000000.0,3,2.3333,1.0,1.0,1.0,11.0,2624.0,0,0,1
13500000.0,4,2.75,1.0,1.0,5.0,38.0,2921.0,0,0,0
40000.0,1,1.0,1.0,1.0,1.0,3.0,487.0,0,0,0
322325.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
25000.0,1,1.0,1.0,1.0,1.0,3.0,1096.0,0,0,0
3621.0,1,0.0,1.0,1.0,1.0,3.0,4170.0,0,0,0
8500000.0,3,2.6667,1.0,1.0,1.0,3.0,1833.0,0,0,1
190833.3333,3,0.6667,5.0,2.0,1.0,1.0,2771.0,0,0,0
5000000.0,1,0.0,1.0,1.0,1.0,3.0,2183.0,0,0,0
11000000.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
1180238.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
100000.0,1,0.0,1.0,2.0,1.0,3.0,214.0,0,0,0
3500000.0,3,1.3333,1.0,1.0,3.0,6.0,2922.0,0,0,0
15639191.3333,3,0.3333,1.0,1.0,6.0,44.0,1461.0,0,0,0
150000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
289760.0,1,1.0,1.0,1.0,1.0,3.0,760.0,0,0,1
1250000.0,2,1.5,1.0,1.0,1.0,3.0,1826.0,0,0,0
926627.5,4,1.0,1.0,1.0,1.0,5.0,2953.0,0,0,0
1150000.0,1,7.0,1.0,1.0,1.0,4.0,1826.0,0,0,1
1960000.0,1,1.0,1.0,2.0,1.0,3.0,426.0,0,0,0
4301201.0,2,0.0,1.0,1.0,1.0,3.0,700.0,0,0,0
5000000.0,3,0.3333,1.0,1.0,1.0,3.0,2192.0,0,0,0
86666666.6667,6,5.8333,2.0,1.0,5.0,16.0,4383.0,0,0,0
19000000.0,2,1.5,1.0,1.0,1.0,2.0,5479.0,0,0,0
50000.0,1,0.0,1.0,1.0,1.0,3.0,1675.0,0,0,0
4395085.8,5,1.2,1.0,1.0,1.0,1.0,1826.0,0,0,0
4800000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
20000000.0,1,5.0,1.0,1.0,1.0,3.0,1461.0,0,0,0
750000.0,1,0.0,1.0,1.0,1.0,3.0,3214.0,0,1,0
194742.5,2,0.0,1.0,2.0,1.0,5.0,1038.0,0,0,0
5000000.0,1,3.0,1.0,1.0,1.0,3.0,1826.0,0,1,0
181830.0,1,0.0,1.0,1.0,1.0,3.0,2223.0,0,0,0
1960000.0,2,1.5,1.0,1.0,1.0,7.0,1948.0,0,0,0
48500000.0,1,4.0,1.0,1.0,1.0,1.0,1826.0,0,0,0
100000.0,1,1.0,1.0,1.0,1.0,3.0,457.0,0,0,0
1115520.0,1,2.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
1960000.0,1,1.0,1.0,1.0,1.0,3.0,1461.0,0,0,0
400000.0,1,0.0,1.0,1.0,1.0,1.0,1096.0,0,0,0
5221250.0,4,1.5,1.0,1.0,3.0,10.0,2954.0,0,0,0
208193.0,2,4.0,1.0,1.0,1.0,5.0,1341.0,0,0,0
8200000.0,4,2.75,2.0,1.0,7.0,19.0,3532.0,0,0,0
1132000.0,5,1.0,1.0,6.0,2.0,7.0,1826.0,0,0,1
7000000.0,1,3.0,1.0,1.0,1.0,3.0,4748.0,0,0,0
50000.0,1,0.0,1.0,1.0,1.0,3.0,245.0,0,0,0
3030503.0,1,3.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
3000000.0,2,0.5,1.0,1.0,5.0,15.0,3228.0,0,0,0
9839638.0,2,2.5,4.0,1.0,1.0,15.0,2526.0,0,0,0
50000.0,1,0.0,1.0,1.0,1.0,3.0,1055.0,0,0,0
1250000.0,1,1.0,1.0,1.0,1.0,3.0,2210.0,0,0,0
507500.0,2,11.0,1.0,1.0,1.0,9.0,1826.0,0,0,1
1900000.0,1,0.0,1.0,2.0,1.0,3.0,731.0,0,0,0
10000000.0,2,1.5,1.0,1.0,1.0,12.0,2679.0,0,0,0
14999999.5,2,2.0,1.0,1.0,5.0,25.0,1357.0,0,0,0
8830000.0,1,2.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
9900000.0,2,2.5,1.0,1.0,1.0,3.0,2696.0,0,0,1
12666666.6667,3,2.3333,2.0,5.0,4.0,7.0,4018.0,0,0,0
10000000.0,2,1.0,1.0,1.0,1.0,2.0,3653.0,0,0,0
16000000.0,2,0.0,1.0,1.0,2.0,7.0,5114.0,0,0,0
1554725.0,2,2.0,1.0,1.0,1.0,1.0,4018.0,0,0,0
15000000.0,1,1.0,1.0,1.0,1.0,1.0,1826.0,0,0,0
10166666.6667,3,0.6667,1.0,1.0,1.0,10.0,772.0,0,0,1
2965000.0,2,1.0,1.0,2.0,1.0,3.0,3758.0,0,0,0
6000000.0,1,0.0,2.0,3.0,1.0,5.0,2557.0,0,0,0
21300000.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
5000000.0,1,1.0,1.0,1.0,1.0,3.0,5844.0,0,1,0
1800000.0,1,0.0,1.0,1.0,1.0,5.0,1826.0,0,0,0
15000000.0,1,5.0,1.0,1.0,8.0,13.0,5114.0,0,0,0
1780000.0,1,3.0,1.0,1.0,1.0,3.0,3653.0,0,0,0
3000000.0,1,4.0,1.0,2.0,1.0,1.0,1096.0,0,0,0
550000.0,2,1.0,1.0,1.0,2.0,1.0,3075.0,0,0,0
8061203.6667,3,0.0,1.0,1.0,3.0,9.0,5844.0,1,0,0
18000000.0,1,3.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
500000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
4000000.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
4750000.0,2,1.0,1.0,1.0,1.0,3.0,2345.0,0,1,0
30000.0,1,0.0,1.0,1.0,1.0,3.0,610.0,0,0,0
2100000.0,2,1.5,1.0,1.0,1.0,3.0,1461.0,0,0,0
150000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
1960000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,1,0
100000.0,1,1.0,1.0,1.0,1.0,3.0,166.0,0,0,0
341250.0,4,0.75,1.0,1.0,1.0,1.0,1096.0,0,0,0
5788729.0,2,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
2550000.0,2,2.5,1.0,1.0,1.0,1.0,1826.0,0,0,0
23216666.6667,6,1.0,1.0,4.0,2.0,14.0,4018.0,0,0,0
5800000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
2400000.0,2,1.5,1.0,1.0,1.0,6.0,1461.0,0,0,0
5000000.0,1,1.0,3.0,1.0,1.0,17.0,5114.0,0,0,0
2025200.0,1,0.0,1.0,1.0,1.0,3.0,2922.0,0,0,0
2000000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
51044000.0,5,6.4,1.0,1.0,1.0,9.0,1826.0,0,0,0
6000000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
3795076.25,4,0.0,1.0,1.0,1.0,3.0,1461.0,0,0,0
16062665.4545,11,0.5455,1.0,5.0,11.0,34.0,4383.0,0,0,0
1500000.0,1,0.0,1.0,1.0,1.0,3.0,1096.0,0,0,0
2500000.0,2,1.5,1.0,1.0,1.0,3.0,1826.0,0,0,0
1100000.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
20000000.0,1,2.0,1.0,2.0,1.0,3.0,1826.0,0,0,0
10000000.0,1,2.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
3000000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
2000000.0,1,3.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
2400000.0,1,11.0,1.0,2.0,1.0,2.0,667.0,0,0,0
1476100.0,1,1.0,1.0,1.0,1.0,1.0,2376.0,0,1,0
79350000.0,2,3.5,1.0,1.0,1.0,3.0,4383.0,0,1,0
1979910.5,2,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
50000.0,1,0.0,1.0,1.0,1.0,3.0,731.0,0,0,0
660000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
1960000.0,1,0.0,1.0,1.0,1.0,4.0,2557.0,0,0,0
10391946.0,2,0.5,1.0,1.0,1.0,1.0,5479.0,0,0,0
9050000.0,2,0.5,1.0,1.0,1.0,1.0,7305.0,0,0,0
1960000.0,2,4.0,1.0,1.0,1.0,3.0,448.0,0,0,1
25000.0,1,0.0,1.0,1.0,1.0,1.0,6209.0,0,0,0
500000.0,1,0.0,1.0,1.0,1.0,3.0,579.0,0,0,0
4340000.0,3,2.6667,1.0,1.0,1.0,10.0,1256.0,0,0,1
6129400.0,2,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
1503333.3333,3,3.6667,1.0,1.0,1.0,1.0,1006.0,0,0,0
112500.0,1,0.0,1.0,1.0,1.0,2.0,1096.0,0,1,0
8000000.0,1,2.0,1.0,1.0,1.0,1.0,10958.0,0,1,0
4200000.0,1,2.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
29083333.3333,6,4.6667,2.0,1.0,4.0,12.0,2161.0,0,0,0
4000000.0,1,3.0,1.0,1.0,1.0,3.0,4748.0,0,1,0
500000.0,1,0.0,1.0,1.0,2.0,1.0,2031.0,0,0,0
500000.0,1,0.0,1.0,1.0,1.0,3.0,4111.0,0,0,0
1150000.0,2,3.5,1.0,1.0,2.0,5.0,1091.0,0,0,0
5575000.0,2,0.5,1.0,1.0,1.0,3.0,1826.0,0,0,0
4700000.0,5,1.4,1.0,2.0,3.0,8.0,2471.0,0,0,1
111666.6667,6,0.5,1.0,1.0,1.0,3.0,2022.0,0,0,0
1120000.0,2,2.0,1.0,1.0,1.0,3.0,2922.0,0,1,0
4000000.0,5,1.4,1.0,1.0,1.0,1.0,2192.0,0,0,0
